,Pharmacy,Online Doctors,Government,Job Portal,University,Air Travel,International Ground Travel,Car Rental,Bank,Real Estate,Gaming,E-commerce,Social Media,News,Payment Services
Bank credentials,25.00%,25.00%,0.00%,25.00%,25.00%,50.00%,50.00%,75.00%,50.00%,25.00%,25.00%,50.00%,0.00%,0.00%,50.00%
Birth certificate,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%
Diploma,0.00%,0.00%,0.00%,50.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Disability status,0.00%,25.00%,0.00%,0.00%,25.00%,50.00%,25.00%,25.00%,0.00%,25.00%,0.00%,25.00%,0.00%,25.00%,0.00%
Driver's license,25.00%,0.00%,50.00%,0.00%,0.00%,0.00%,25.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Employment history,0.00%,0.00%,25.00%,25.00%,25.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Health insurance,0.00%,25.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Marriage certificate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Medical records,25.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Official Identity Document,25.00%,50.00%,75.00%,25.00%,25.00%,50.00%,25.00%,50.00%,50.00%,25.00%,50.00%,25.00%,25.00%,0.00%,25.00%
Prescriptions,25.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Professional licenses,0.00%,0.00%,25.00%,25.00%,25.00%,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
University transcript,0.00%,0.00%,0.00%,50.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Visa,25.00%,0.00%,25.00%,0.00%,0.00%,75.00%,50.00%,50.00%,25.00%,25.00%,25.00%,25.00%,0.00%,0.00%,25.00%
